X.1,X,WardName,country_na,country_co,state_name,state_code,lga_name,lga_code,WardCode,global_id,source,source_dat,properties,population,mean_EVI,mean_NDVI,mean_rainfall,distance_to_water,RH_mean,temp_mean,housing_quality,pfpr,avgRAD,flood,NDWI,NDMI,elevation,mean_soil_wetness,settlement_type,u5_tpr_rdt,totalArea,urbanArea,urbanPercentage,building_height
1,1,Adahe,Nigeria,NG001000000000000000,Niger,NI,Agwara,27002,NISAGR01,98b45f6e-cbba-4786-a5ea-fab8b2848239,WHO,5/30/2024,"{""lgacode"": ""27002"", ""amapcode"": ""NIE NIS AGR""}",11631,2432.758087,3657.636699,82.01035245999998,2063.924419,55.83901706,31.00657284,0.039574389,0.255582479,0.299343608,0.711014363,-0.41013317,-0.045258172,205.3662791,0.714999133,1.0,29.0808208559422,163706185.4221,0.0,0.0,0.0567993676984536
2,2,Adono,Nigeria,NG001000000000000000,Niger,NI,Paikoro,27019,NISPAK01,33e49d50-a355-4223-b7aa-6a75d6d0b090,WHO,5/30/2024,"{""lgacode"": ""27019"", ""amapcode"": ""NIE NIS PAK""}",16844,2709.978427,4057.033718,116.8410629,4124.331034,58.89389988,30.33130557,0.089860016,0.346184721,0.304615255,0.093372725,-0.423330025,0.083132022,519.2152778,0.715585005,1.0,29.6877762893622,124352065.129071,0.0,0.0,0.1145996272453303
3,3,Agwata,Nigeria,NG001000000000000000,Niger,NI,Agwara,27002,NISAGR02,399c21f9-d69b-4be2-987c-cdd54f0b48ec,WHO,5/30/2024,"{""lgacode"": ""27002"", ""amapcode"": ""NIE NIS AGR""}",15568,2259.067553,3223.36975,83.54211432,1576.419847,54.34175144,31.02032182,0.073158907,0.231105293,0.324205383,0.574962768,-0.399749115,-0.028018235,169.610687,0.72214517,1.0,29.8053255761915,101352087.209303,0.0,0.0,0.1463972355508769
4,4,Akari,Nigeria,NG001000000000000000,Niger,NI,Wushishi,27025,NISWSH01,b7c6b821-aa1c-4b56-9429-df10ead6afff,WHO,5/30/2024,"{""lgacode"": ""27025"", ""amapcode"": ""NIE NIS WSH""}",22156,2815.481821,4108.411551,95.51387785,2385.531469,56.11518894,30.5206816,0.056784564,0.336283463,0.281529761,0.112877752,-0.420191567,0.077167921,128.3344948,0.663199,1.0,22.9477387223656,291413753.254887,0.0,0.0,0.1202746974872571
5,5,Allawa,Nigeria,NG001000000000000000,Niger,NI,Shiroro,27022,NISKUT01,46f6ae96-23a1-4429-90ed-ea1767e2d4b4,WHO,5/30/2024,"{""lgacode"": ""27022"", ""amapcode"": ""NIE NIS KUT""}",29850,3048.75122,4801.498635,102.2076307,2662.156737,52.95390964,30.46436221,0.041593508,0.313156414,0.478593418,0.057837743,-0.459889742,0.185250227,416.0923218,0.71588003,1.0,35.7791754018169,582537912.473831,0.0,0.0,0.0783035355369191
6,6,Anaba/Ibelu West,Nigeria,NG001000000000000000,Niger,NI,Magama,27014,NISNAS01,9def4035-72b1-4c93-9a3d-6f7fee4dec4d,WHO,5/30/2024,"{""lgacode"": ""27014"", ""amapcode"": ""NIE NIS NAS""}",40848,2477.567399,3784.862702,89.86482664,2432.747826,53.66977878,30.94224821,0.075281948,0.293903618,0.326975623,0.571688969,-0.418040178,-0.0179088,235.1884058,0.740636373,1.0,25.9646206814674,253178307.57568,0.0,0.0,0.4440738035272548
7,7,Arewa,Nigeria,NG001000000000000000,Niger,NI,Kontagora,27011,NISKNT01,947c1e86-adc3-4cf0-a0da-7d744f43b435,WHO,5/30/2024,"{""lgacode"": ""27011"", ""amapcode"": ""NIE NIS KNT""}",19942,2050.947447,3086.360661,98.85867268,1679.818182,52.40815769,30.89766043,0.272251666,0.339021049,1.314583331,0.605724838,-0.387334771,-0.008519586,336.4545455,0.713640082,1.0,15.8113962012662,9571260.84315554,1118996.51544118,11.6912132453414,0.0577896894416632
8,8,Arewa/Yamma,Nigeria,NG001000000000000000,Niger,NI,Lapai,27012,NISLAP01,b8e8d585-cffb-48e2-801d-95b6021571ff,WHO,5/30/2024,"{""lgacode"": ""27012"", ""amapcode"": ""NIE NIS LAP""}",32535,2648.21335,3923.069615,99.86388364,2713.935897,57.79389988,30.41153789,0.374347016,0.283653229,0.347288557,0.257296291,-0.416038268,0.064837813,215.5769231,0.660772277,1.0,18.7819783968164,60898392.5569241,1368818.71341912,2.24770910355249,2.2318352659328284
9,9,Auna,Nigeria,NG001000000000000000,Niger,NI,Magama,27014,NISNAS02,b13c0460-2b25-4f4f-9c6e-8d098753f459,WHO,5/30/2024,"{""lgacode"": ""27014"", ""amapcode"": ""NIE NIS NAS""}",32763,2267.862375,3494.28574,92.48994771,3511.52381,55.52124363,30.80049246,0.070636175,0.258377567,0.349935344,0.759592448,-0.408286004,-0.038493965,197.3452381,0.65262773,1.0,24.2969580412804,160053492.658891,0.0,0.0,0.3933187810441594
10,10,Babana,Nigeria,NG001000000000000000,Niger,NI,Borgu,27004,NISNBS01,4b2b4810-901b-4758-b21a-5a4cd0234851,WHO,5/30/2024,"{""lgacode"": ""27004"", ""amapcode"": ""NIE NIS NBS""}",78179,2965.141021,4858.607694,95.71552159,3194.842511,51.72882826,31.0579623,,,0.317772915,0.178783304,-0.448484807,,282.9860784,0.667797631,1.0,26.8306914350443,3805421152.38082,738187.49810049,0.0193983127896015,0.0887835314286488
