WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19,model_20,model_21,model_22,model_23,model_24,model_25,model_26
Adahe,0.3809190067238068,0.32965787704291316,0.4476419892903802,0.025018655716436175,0.660539572333884,0.7785236845813511,0.3559003510074071,0.7272625549004574,0.30463922132651344,0.42262333357398046,0.4570388187002014,0.5356948935318461,0.25394600448255,0.501520807077917,0.21977191802862092,0.2984279928602656,0.7221086039385641,0.4403597148892682,0.5190157897209129,0.4848417032669838,0.5540907808121321,0.34277911402516015,0.40177117014889363,0.37614060530844684,0.5415814529539322,0.443272624649713
Adono,0.566550760779508,0.8190840243543492,0.6414554831213349,0.46917576449793347,0.44728325613800246,0.2696547149049881,0.09737499628158669,0.5221879784798295,0.349908259856428,0.17227971862341368,0.6109726804239531,0.492553652935277,0.3777005071863427,0.6609091619851711,0.5460560162362369,0.4276369887475607,0.4130419831742733,0.298188837425339,0.1797698099366628,0.348125318986557,0.5443693696296686,0.45822951031796794,0.3694152397014608,0.49568187148888143,0.30978148738070804,0.4354954957037374
Agwata,0.40571563552421863,0.2999694065882052,0.26180764976692134,0.04455150217535714,0.616582037761761,0.5784202809404771,0.3611641333489129,0.47267405200446366,0.25541790441289947,0.21725614759161566,0.4407556932913949,0.4153145220772057,0.27047709034949624,0.3448170361198634,0.19997960439215393,0.1745384331779647,0.5558921235689006,0.4110546918411912,0.38561352062700194,0.3151160346696596,0.43919484376434115,0.33056676996855905,0.31148589155791717,0.25861277708991043,0.41691909267668836,0.35135587501148324
Akari,0.36709142535229855,0.5529456188131892,0.48425157516826783,0.19721401779243283,0.525609008580652,0.45691496493573064,0.16987740755989564,0.6427691583966212,0.3557316010207862,0.28703755737586495,0.48188201758204646,0.4360859884854323,0.24472761690154235,0.559988784126026,0.3686304125421361,0.3228343834455219,0.5417643773043346,0.3504060057204446,0.30460997662383044,0.42851277226442414,0.5049302918744598,0.36141151318654235,0.3270644913640817,0.419991588094527,0.4063232829782584,0.4039442334995738
Allawa,0.43088755324808026,0.7168604507031082,0.6834785140095909,0.2825719641333605,0.582604075684493,0.5492221389909757,0.14831558911474532,0.8351950364460037,0.43428848656977326,0.4009065498762559,0.5767840265452272,0.5545294020828823,0.287258368832062,0.7451780003862343,0.477906967135414,0.45565234267306914,0.6556737503738241,0.38840271712300384,0.366148092660659,0.556796690964011,0.633041294847042,0.43258801990892676,0.4158970515621681,0.5588835002896821,0.4917553127803745,0.5064330358776388
Anaba/Ibelu West,0.45645171842717874,0.44423743969339563,0.33560958633355686,0.12517798346822748,0.6503331911841486,0.5417053378243099,0.3312737349589804,0.5294910590905267,0.31905945622519727,0.21043160286535856,0.517007449768241,0.4445888808616818,0.3043011456181289,0.4364460283724931,0.2961582931289401,0.22373972422238095,0.573843196032995,0.43355546078944207,0.36113689188288295,0.35299403939369417,0.49297138875885277,0.38775558732618803,0.3334416606462686,0.32733452127937707,0.43038239702475356,0.39437711100708805
Arewa,0.5540697976097259,0.47975526744374686,0.28015609052665674,0.23986644670913815,0.554092171635244,0.3544929947181539,0.3142033509006353,0.2801784645521748,0.23988882073465626,0.04028964381756615,0.5293057455629055,0.3962396276181788,0.3693798650731664,0.3466966075075262,0.31983684496251374,0.186770727017787,0.39625454363519097,0.36939478109017854,0.23632866314545176,0.18678564303479905,0.41712413108095037,0.39697930917219104,0.297179720713646,0.2600224556306565,0.2971909077264051,0.3336993048647698
Arewa/Yamma,0.3807766327297902,0.5874090836507069,0.2752392910228553,0.2526847782352145,0.46281615991009295,0.15064636728224134,0.12809185449460053,0.3572788182031581,0.3347243054155173,0.022554512787665678,0.47700062543019667,0.26888743034496226,0.2538510884865351,0.40664239762557336,0.3916060557671462,0.18349286068191184,0.32358044846516415,0.3085441066067369,0.10043091152150252,0.2381858788021137,0.3690277254664741,0.35775046907265373,0.20166557275872793,0.30498179821918625,0.24268533634887932,0.29522218037318426
Auna,0.43565591466634235,0.44477767659353457,0.38455207816777015,0.15865321753389236,0.5631271561921087,0.5029015577663443,0.2770026971324665,0.5120233196935365,0.2861244590596587,0.2258988606338943,0.48118691581732853,0.44103651686681894,0.2904372764442337,0.44711769148494707,0.2965184510623619,0.25636805211185226,0.5260173445506632,0.37541810412807797,0.3352677051775683,0.3413488797956965,0.47383961717993944,0.3608901868630005,0.3307773876501183,0.3353382686137144,0.3945130084130015,0.37907169374395483
Babana,0.5753601059723177,0.6405467796639563,0.5792681701735563,0.19978535496674582,0.8163361757028018,0.7550575662124016,0.3755747510055912,0.8202442399040404,0.4407614246972299,0.37948281520682975,0.677414353779692,0.6365619474527585,0.38357340398155154,0.680019729913851,0.427031186442644,0.3861787801157106,0.7972126606064146,0.5442241171352077,0.5033717108082741,0.5468294932693667,0.697802172938179,0.5080607653347737,0.47742146058957374,0.510014797435393,0.5979094954548158,0.558241738350547
