model,variables
model_1,"mean_rainfall,temp_mean"
model_2,"mean_rainfall,mean_ndvi"
model_3,"mean_rainfall,housing_quality"
model_4,"mean_rainfall,distance_to_water"
model_5,"temp_mean,mean_ndvi"
model_6,"temp_mean,housing_quality"
model_7,"temp_mean,distance_to_water"
model_8,"mean_ndvi,housing_quality"
model_9,"mean_ndvi,distance_to_water"
model_10,"housing_quality,distance_to_water"
model_11,"mean_rainfall,temp_mean,mean_ndvi"
model_12,"mean_rainfall,temp_mean,housing_quality"
model_13,"mean_rainfall,temp_mean,distance_to_water"
model_14,"mean_rainfall,mean_ndvi,housing_quality"
model_15,"mean_rainfall,mean_ndvi,distance_to_water"
model_16,"mean_rainfall,housing_quality,distance_to_water"
model_17,"temp_mean,mean_ndvi,housing_quality"
model_18,"temp_mean,mean_ndvi,distance_to_water"
model_19,"temp_mean,housing_quality,distance_to_water"
model_20,"mean_ndvi,housing_quality,distance_to_water"
model_21,"mean_rainfall,temp_mean,mean_ndvi,housing_quality"
model_22,"mean_rainfall,temp_mean,mean_ndvi,distance_to_water"
model_23,"mean_rainfall,temp_mean,housing_quality,distance_to_water"
model_24,"mean_rainfall,mean_ndvi,housing_quality,distance_to_water"
model_25,"temp_mean,mean_ndvi,housing_quality,distance_to_water"
model_26,"mean_rainfall,temp_mean,mean_ndvi,housing_quality,distance_to_water"
