WardName,normalization_x.1,normalization_x,normalization_lga_code,normalization_population,normalization_mean_evi,normalization_mean_ndvi,normalization_mean_rainfall,normalization_distance_to_water,normalization_rh_mean,normalization_temp_mean,normalization_housing_quality,normalization_pfpr,normalization_avgrad,normalization_flood,normalization_ndwi,normalization_ndmi,normalization_elevation,normalization_mean_soil_wetness,normalization_settlement_type,normalization_u5_tpr_rdt,normalization_totalarea,normalization_urbanarea,normalization_urbanpercentage,normalization_building_height
Adahe,0.0,0.0,0.041666666666666664,0.06433963188981202,0.5952900602590535,0.6092784426529905,0.05003731143283588,3.6467999453656036e-14,0.4298367944925479,0.7118007020147777,0.8452466671479245,0.4788812998028765,0.0037700962515616163,0.7620620732764344,0.11857900875761522,0.03893126597607537,0.19485765712049793,0.8664092867720573,1.0,0.5735686725204152,0.04289791880615903,1.0,1.0,0.0047341130727600565
Adono,0.0036496350364963502,0.003472222222222222,0.75,0.09627968531725609,0.7037334920721454,0.6998165197128438,0.9383515289958547,1.2262969184424388e-14,0.6389028747447121,0.1947499925631611,0.3445594372468151,0.8894084098212653,0.004412971158023729,0.10007647679681313,0.0951634721123759,0.41594281991654086,0.0045070145473895245,0.8690172097893636,1.0,0.5878486192875929,0.0325550142192395,1.0,1.0,0.011624999595659078
Agwata,0.0072992700729927005,0.006944444444444444,0.041666666666666664,0.08846163272308409,0.5273455595762805,0.5108358088257475,0.08910300435066283,5.145149039789716e-14,0.32736888566790534,0.7223282666977744,0.43451229518317985,0.36797291378343827,0.006801978180986548,0.6162425709518861,0.13700371830990482,0.08955550164165688,0.26124294207151183,0.8982188191866823,1.0,0.5906142219431021,0.02651024494593029,1.0,1.0,0.015415877218888594
Akari,0.010948905109489052,0.010416666666666666,1.0,0.1288263117907997,0.745004454055991,0.7114632020415425,0.39442803558483575,2.993599276040371e-14,0.4487370848897655,0.33975481511976136,0.5740751147516999,0.8445448971469716,0.0015977058726429573,0.12098187911838736,0.1007321229999203,0.39842952769526824,0.3838775945666474,0.6358286153110255,1.0,0.42927457518823287,0.07646155024517867,1.0,1.0,0.012301575537586866
Allawa,0.014598540145985401,0.013888888888888888,0.875,0.17596745337352646,0.8362550966478639,0.868576973139521,0.5651439282666955,2.5580141150233577e-14,0.2323895813107879,0.29663117822946505,0.8018130997524863,0.7397541063272071,0.02562952743826698,0.0619902390694878,0.030294577731625465,0.7158079572233746,0.03537642859836247,0.870330470174193,1.0,0.7311620328826482,0.15297372684392918,1.0,1.0,0.007297817483534587
Anaba/Ibelu West,0.01824817518248175,0.017361111111111112,0.5416666666666666,0.24335220449476755,0.6128186282222251,0.6381189124503654,0.2503559669364258,2.912239408521147e-14,0.28138129847042953,0.6625474699179317,0.420863205730688,0.6525179129706056,0.0071398076640451814,0.612733727553978,0.10454939067223047,0.1192413653362793,0.15492724748917444,0.9805296890036042,1.0,0.5002532853318843,0.06641265158974528,1.0,1.0,0.0509045664831239
Arewa,0.021897810218978103,0.020833333333333332,0.4166666666666667,0.11526113275984609,0.44593285182206427,0.47977764146926494,0.4797328934182287,4.754686500903979e-14,0.1950401221991371,0.628406701801223,0.08057928763508475,0.856949151657658,0.1275781095650949,0.6492132225482375,0.15903082453018275,0.14681233512871977,0.07216502515952455,0.8603596711826574,1.0,0.2613765950359918,0.002388747045700464,7.984812189413006e-17,7.552165765098108e-12,0.004852178195773602
Arewa/Yamma,0.025547445255474453,0.024305555555555556,0.4583333333333333,0.19241844962380217,0.6795721447623488,0.6694486108310097,0.5053695564704042,2.4863466911341433e-14,0.5636225115269239,0.2561837089891762,0.045109025575306494,0.6060724555531801,0.009616960543443423,0.2757690352955596,0.1081014337132028,0.3622227658507168,0.17994235934187958,0.6250264148844372,1.0,0.33126600253492605,0.015878354285880483,6.353803191357117e-17,4.3488476390368124e-11,0.2640396192324588
Auna,0.029197080291970802,0.027777777777777776,0.5416666666666666,0.19381540572997083,0.530785930076747,0.5722489181193009,0.31730643506776823,1.6494278193699126e-14,0.40808943155494554,0.5540053942649165,0.4517977212677721,0.4915461011759715,0.009939734990414196,0.8141278515466532,0.12185648533539382,0.05879403051278895,0.20765692556023607,0.5887721621008404,1.0,0.4610178943686691,0.041937931581088356,1.0,1.0,0.04485360575837923
Babana,0.032846715328467155,0.03125,0.125,0.47207925887802366,0.8035483446319924,0.8815228493944405,0.3995707099334723,1.9317060234069135e-14,0.14854906198556148,0.751149502011163,0.7589656304136402,0.46761344434315855,0.006017541692006812,0.19161916046054764,0.05053066227063665,0.21693582394755156,0.108482568199614,0.6562987446788695,1.0,0.5206294836105635,1.0,1.2594927664367826e-16,5.1540862181795004e-09,0.008547231638704408
Babanrami,0.0364963503649635,0.034722222222222224,0.625,0.587389407641595,0.5649211305375679,0.5999782981103062,0.49869974632030856,2.138899745360056e-14,0.2942866946296214,0.5647494064214426,0.4943697077930511,0.8259644966634895,0.0036703121411425263,0.6062558131045515,0.09139992219114622,0.18026641465493348,0.09923188382993722,0.7356587280927727,1.0,0.4479596719009714,0.11760738153567077,1.0,1.0,0.05278116250690761
Badegi,0.040145985401459854,0.03819444444444445,0.375,0.15473739676004217,0.6501246869564649,0.6415835288002592,0.3616258197086669,1.9696690720692762e-14,0.5261895110587427,0.12479584293438807,0.200436675660077,0.567100355019228,0.015989611845833557,0.3328818798033719,0.0720438080494046,0.3700671490361537,0.4847664578189245,0.22388828051507131,1.0,0.3272033060944714,0.030588880505019816,1.0,1.0,0.01209364994547894
Bagama A,0.043795620437956206,0.041666666666666664,0.9166666666666666,0.13190819302502266,0.4653036716165993,0.5551091061645892,0.8264224383553719,2.8801661285360394e-13,0.7930324673181405,0.17625297554977476,0.0080920748585685,0.33970491588430635,0.34617265423381305,0.031285242280860756,0.22541455594274745,0.31982627589903445,0.029307436493095505,0.8690172097893636,0.8703703703703709,0.3045064363349597,0.004869250906466545,3.1207173979889965e-17,6.740291199460104e-12,0.04401771314457404
Bagama b,0.04744525547445255,0.04513888888888889,0.9166666666666666,0.14302257186971545,0.4979558624376377,0.5620833024401386,0.8465967419683705,3.801661282368843e-14,0.7930324673181405,0.17625297554977476,0.0080920748585685,0.33970491588430635,0.5426003315937155,0.0193633199458952,0.27098388398446266,0.2928523453878585,0.029307436493095505,0.8690172097893636,0.5757575757575754,0.30415157898353445,0.0020069193064485686,5.522504027532091e-17,4.254824208761731e-12,0.023778330997697484
Bakeko,0.051094890510948905,0.04861111111111111,0.375,0.18748008724848664,0.5667419827921998,0.5752442352087328,0.24598425964051823,2.668621567123779e-14,0.5417949483121843,0.06464117885618684,0.4073687270832997,0.38682802532347677,0.006562692825463301,0.609834507565988,0.11008367461937257,0.23266351224648635,0.4578019811299827,0.0,1.0,0.28525356681414327,0.024931783560976212,1.0,1.0,0.03375797245413524
