WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11
Adahe,0.4060496923546351,0.8036543702121794,0.6856702579647125,0.4476419892903802,0.32965787704291316,0.7272625549004574,0.5524486839523982,0.47379260912075355,0.7388623943591165,0.501520807077917,0.5666561236275462
Adono,0.5192140028963339,0.22231795702181412,0.3999464982548284,0.6414554831213349,0.8190840243543492,0.5221879784798295,0.4609958143464943,0.5794148418351704,0.3814841445854906,0.6609091619851712,0.5207009906880816
Agwata,0.35267278765127447,0.5253774330675329,0.5635391898888168,0.26180764976692134,0.2999694065882052,0.47267405200446366,0.3799526234952429,0.40539379470943215,0.5205302249869378,0.3448170361198634,0.4126734198278691
Akari,0.25770495735161153,0.3475284969350436,0.4162225405799649,0.48425157516826783,0.5529456188131892,0.6427691583966212,0.3631616764849743,0.4089577055815885,0.4688400653038765,0.559988784126026,0.4502370578741164
Allawa,0.3135670836680916,0.431901669410987,0.46528360610450437,0.6834785140095909,0.7168604507031082,0.8351950364460037,0.47631575569622314,0.4985703801585681,0.577460103987165,0.7451780003862343,0.5743810600570476
Anaba/Ibelu West,0.4315448472452019,0.516798466642333,0.6254263200021717,0.33560958633355686,0.44423743969339563,0.5294910590905267,0.4279843000736973,0.5004028689802564,0.5572386152450105,0.4364460283724931,0.48051795316786433
Arewa,0.5644730579832331,0.3648962550916611,0.5644954320087512,0.28015609052665674,0.47975526744374686,0.2801784645521748,0.40317513453385034,0.536241252478577,0.4031900505508624,0.3466966075075262,0.422325761267704
Arewa/Yamma,0.39056929588298184,0.16043903043543303,0.47260882306328467,0.2752392910228553,0.5874090836507069,0.3572788182031581,0.27541587244709004,0.4835290675323245,0.3301088905672919,0.40664239762557347,0.37392405704306997
Auna,0.5657171433072108,0.6329627864072127,0.6931883848329771,0.38455207816777015,0.44477767659353457,0.5120233196935365,0.527744002627398,0.5678944015779075,0.6127248303112421,0.44711769148494707,0.5388702315003737
Babana,0.29559493519700997,0.4752923954370939,0.5365710049274941,0.5792681701735563,0.6405467796639563,0.8202442399040404,0.4500518336025534,0.4909042399294868,0.6107025467562094,0.680019729913851,0.5579195875505252
Babanrami,0.5524777797124301,0.5503127604488013,0.6031170556074288,0.49653472705667984,0.5493390222153074,0.5471740029516787,0.5331084224059705,0.5683112858450555,0.5668679396693029,0.5310159174078887,0.5498258913320544
Badegi,0.3472538497560194,0.2666592777317245,0.48723270430181553,0.28103124768437193,0.5016046742544631,0.4210101022301681,0.2983147917240386,0.445363742770766,0.3916340280879027,0.4012153413896677,0.38413197599309373
Bagama A,0.4288538403181163,0.019688658569714627,0.29319717422272495,0.4172572566069702,0.6907657722599805,0.2816005905115789,0.28859991849826705,0.4709389289336072,0.19816214110133948,0.46320787312617656,0.3552272154148476
Bagama b,0.4329800309571329,0.013727697402231849,0.2907233111930169,0.42734440841346955,0.7043400222042546,0.2850876886493536,0.29135071225761144,0.4760144547848015,0.1965128990815341,0.4722573730890259,0.3590338598032432
Bakeko,0.42790938360325315,0.5086016173246438,0.5925393713873603,0.32667649336190896,0.4106142474246255,0.49130648114601627,0.421062498096602,0.4770210008050797,0.5308158232860068,0.4095324073108502,0.4596079323746347
Bangajiya,0.4145419429542584,0.42897742662988886,0.46815665453049715,0.45981477898783607,0.49899400688844436,0.5134294905640748,0.4344447161906611,0.46056420145773336,0.470187857241487,0.49074609214678516,0.46398571675916667
Bangi,0.5156649103029629,0.6214134735506174,0.6171732235254264,0.5169576383825633,0.5127173883573722,0.6184659516050268,0.5513453407453812,0.5485185073952539,0.6190175495603568,0.5493803261149873,0.5670654309539949
Bariki,0.35657773918024394,0.09825255877060983,0.47037092015007687,0.26180233718597706,0.6339206985654441,0.37559551815581,0.2388775450456103,0.4869564526319216,0.31473966569216555,0.4237728513024104,0.366086628668027
Baro,0.40083121802885713,0.5526879634207578,0.5489282959327886,0.5798013679929592,0.57604170050499,0.7278984458968908,0.5111068498141914,0.508600404822212,0.6098382350834791,0.6279138381316134,0.564364831962874
Barwa,0.43828409784827604,0.289089805745666,0.6102104801688558,0.21753455354820617,0.538655227971396,0.38946093586878594,0.3149694857140494,0.5290499353295093,0.42958707392776924,0.38188357246279603,0.413872516858531
Bassa/Kukoki,0.3420573611528694,0.4576743366062669,0.4426770157411688,0.6614145900055075,0.6464172691404095,0.762034244593807,0.48704876258821467,0.47705054867814917,0.5541285323137476,0.6899553679132412,0.5520458028733382
Batagi,0.44586439139275413,0.38928973281199275,0.5610675751518457,0.36002720937637517,0.531805051716228,0.47523039313546667,0.39839377786037405,0.5129123394202759,0.475195900366435,0.45568755140935663,0.46054739226411046
Batako,0.39534838090128444,0.48996437089551664,0.51983044435754,0.48858972014566165,0.518455793607685,0.6130717836019173,0.45796749064748754,0.4778782062888365,0.5409555329516579,0.5400390991184213,0.5042100822516008
