,,WardName,total,nets_per_capita,settlement_type_poor,distance_to_water_bodies,test_positivity_rate,enhanced_vegetation_index,housing_quality,dumpsites,rainfall
1,1,Adakawa,86,6.376747117,1,3.162,0.581567797,3.162,3.162,3.162,3.162
2,2,Babban Giji,130,3.96232741,0.4,5.438727273,0.619517721,5.438727273,5.438727273,5.438727273,5.438727273
3,3,Bakin-Ruwa,110,5.025584795,1,0.8535,0.530604438,0.8535,0.8535,0.8535,0.8535
4,4,Chedi,72,7.059169567,1,2,0.74778906,2,2,2,2
5,5,Dakata,193,3.804679953,0.586206897,6.550388889,0.536893886,6.550388889,6.550388889,6.550388889,6.550388889
6,6,Dala,120,6.442261234,1,7.5105,0.568731956,7.5105,7.5105,7.5105,7.5105
7,7,Dan Agundi,83,3.991344073,0.777777778,2.236,0.561642594,2.236,2.236,2.236,2.236
8,8,Dandago,74,2.898948152,0.952380952,2.6155,0.56077147,2.6155,2.6155,NA,2.6155
9,9,Darmanawa,194,2.977492307,0.5,3.707666667,0.614760746,NA,3.707666667,NA,3.707666667
10,10,Daurawa,36,2.467105263,0.083333333,8.13275,0.534031414,NA,8.13275,NA,8.13275
11,11,Diso,36,3.012426258,1,4.0094,0.492342809,NA,4.0094,NA,4.0094
12,12,Dogon Nama,123,6.458896736,0.947368421,2.4626,0.43412798,2.4626,2.4626,2.4626,2.4626
13,13,Dorayi,636,1.759577038,0.681818182,NA,0.589513832,4.023333333,4.023333333,4.023333333,4.023333333
14,14,Fagge A,60,4.006544022,0.2,NA,0.685929343,6.324,6.324,6.324,6.324
15,15,Fagge B,24,1.44539131,1,NA,0.657008614,8,8,8,8
16,16,Fagg c,35,2.841139703,0.333333333,NA,0.692307692,8.5,8.5,8.5,8.5
17,17,Fagge D1,23,4.345361799,0.5,NA,0.688072115,4.529884615,4.529884615,4.529884615,4.529884615
18,18,Fagge D2,36,1.070154578,0.2,NA,0.355977288,5.83,5.83,5.83,5.83
19,19,Galadanchi,72,3.185065581,1,NA,0.509449974,5.276666667,5.276666667,5.276666667,5.276666667
20,20,Gama,229,4.849999471,0.964285714,5.385,0.757651246,5.385,5.385,5.385,5.385
21,21,Gandu Albasa,180,3.609529157,0.5,4.395333333,0.73230127,4.395333333,4.395333333,4.395333333,4.395333333
22,22,Gawunab,96,5.457956677,1,6.85825,0.737247353,6.85825,6.85825,6.85825,6.85825
23,23,Giginyu,484,2.151216282,0.375,4.55825,0.433566434,4.55825,4.55825,4.55825,4.55825
24,24,Gobirawa,676,4.606677638,1,4.2855,0.51431522,4.2855,4.2855,4.2855,4.2855
25,25,Goron Dutse,170,7.00352236,0.888888889,6.064666667,0.697330595,6.064666667,6.064666667,6.064666667,6.064666667
26,26,Gwagwarwa,169,9.80733519,0.842105263,6,0.698549053,6,6,6,6
27,27,Gwale,140,7.069814417,0.875,6.324,0.654545455,6.324,6.324,6.324,6.324
28,28,Gwammaja,156,4.307191076,1,6.51775,0.542984741,6.51775,6.51775,6.51775,6.51775
29,29,Gyadi Gyadi Arewa,36,4.468164329,0.6,6,0.811764706,6,6,6,6
30,30,Gyadi Gyadi Kudu,36,2.927781392,0.285714286,6.203,0.614318707,6.203,6.203,6.203,6.203
31,31,Gyaranya,55,3.967109059,1,6.8912,0.678672498,6.8912,6.8912,6.8912,6.8912
32,32,Hotoro,179,2.763987863,0.423076923,7.3752,0.498265896,7.3752,7.3752,7.3752,7.3752
33,33,Hotoro North,420,2.208091604,0.551724138,7.3752,0.671114247,7.3752,7.3752,7.3752,7.3752
34,34,Hotoro South,178,2.428012167,0.416666667,6.62875,0.548364408,6.62875,NA,6.62875,6.62875
35,35,Jakara,108,10.84555132,1,5.7438,0.573313307,5.7438,NA,5.7438,5.7438
36,36,Kabuga,353,2.108482311,0.64516129,6.269,0.604386045,6.269,NA,6.269,6.269
37,37,Kabuwaya,59,3.401164466,1,6.538,0.579075605,6.538,NA,6.538,6.538
